AccX,AccY,AccZ,VelX,VelY,VelZ,PosX,PosY,PosZ,QuatW,QuatI,QuatJ,QuatK
0.0759707141607289,0.0804750972732621,0.305129206436669,-0.0568778012849487,-0.0312805126566706,-0.201528248395614,-0.0302205117655451,-0.0192250062402044,-0.103501807530163,0.532196043876983,-0.432611789526263,-0.649625647794817,-0.328025804124822
0.0654634672676085,0.0882023999321831,0.299457352476741,-0.0561567785734258,-0.030437543075437,-0.198508193548431,-0.030785684664837,-0.0195335965188649,-0.105501989739883,0.532182008490994,-0.432585745439224,-0.649594623571653,-0.328144339747138
0.0581241093256434,0.0957709409063087,0.29247061789159,-0.0555249888860784,-0.0295180942760382,-0.195551431643973,-0.0313440935021345,-0.0198333747056223,-0.107472287865845,0.532168765485735,-0.432555237813182,-0.649570492299915,-0.328253784159476
0.0548167061351544,0.100711684535397,0.285426138744294,-0.0549464330043932,-0.0285360990536233,-0.192664825808178,-0.0318964506115868,-0.0201236456722706,-0.109413369153106,0.532156802644405,-0.432520045045343,-0.64955329665825,-0.328353563759641
0.0557473567352356,0.101666978025126,0.28088250398754,-0.05437976088566,-0.0275246236456144,-0.189836160541903,-0.0324430815810371,-0.0204039492857668,-0.111325874084857,0.532147561841908,-0.432479055969879,-0.649543038057037,-0.328442811284932
0.0604969372523196,0.098926101606827,0.281506379445757,-0.053784687611341,-0.0265220761522483,-0.187027094072121,-0.0329839038235221,-0.0206741827847561,-0.113210190357927,0.53214222781586,-0.43243124403257,-0.649539711811839,-0.328520975493211
0.0679416710562796,0.093995741753862,0.289129374955134,-0.0531286427654168,-0.0255578848402385,-0.184176793247501,-0.0335184704754059,-0.0209345825897185,-0.115066209794525,0.532140818936389,-0.432376726218155,-0.64954289648441,-0.328588711116531
0.076446568678863,0.0886188441906881,0.304024885470746,-0.0523928497623599,-0.0246452298153094,-0.181213899892756,-0.0340460779380448,-0.0211855981629963,-0.116893163260226,0.53214223372073,-0.432317084551157,-0.649551398245379,-0.328648083112275
0.0844168526654329,0.083897735944725,0.324320072734183,-0.0515746808512572,-0.023783064819426,-0.178075053049115,-0.0345659155911129,-0.0214277396361699,-0.118689608024935,0.532144886612735,-0.432255053206991,-0.649563206449715,-0.328702037498563
0.090693550274824,0.0801965147776511,0.346178961964243,-0.0506852770321747,-0.0229630114706077,-0.174725435823007,-0.03507721538053,-0.0216614700176201,-0.120453610469296,0.532147193106583,-0.43219403777553,-0.64957572552167,-0.32875379145048
0.0946045158356664,0.0774751128965762,0.365284951895484,-0.0497449348972411,-0.0221750712370303,-0.171170994201093,-0.0355793664401771,-0.0218871604311583,-0.122183092619417,0.532147710862965,-0.432137647656582,-0.649586118462647,-0.328806541908421
0.0960303944800472,0.0753185318021597,0.378698995695591,-0.0487779085412813,-0.0214115209183302,-0.167453952410522,-0.0360719806573697,-0.0221050933919351,-0.123876217352475,0.53214546733089,-0.432088896109597,-0.64959179585683,-0.328863020440847
0.0954510380604289,0.0730678141454636,0.38555146228391,-0.0478066495741977,-0.0206700070933858,-0.163635578068008,-0.0365549034479471,-0.0223155010319937,-0.125531665004867,0.532140663434095,-0.432049019681587,-0.649591082716145,-0.328924587356687
0.0936997640396371,0.0704132595852403,0.386301398293249,-0.0468470437593162,-0.0199530196295259,-0.159779191712507,-0.0370281719146147,-0.0225186161656082,-0.12714873885377,0.532134757355246,-0.432017019585566,-0.649583699596344,-0.328990747623098
